"id","id_card","dificuldade","data","data_proxima_revisao"
"1","0","1","2026-04-21T22:14:42.338682+00:00","2026-04-21T22:15:42.338682+00:00"
"2","1","1","2026-04-21T22:15:00.892957+00:00","2026-04-21T22:16:00.892957+00:00"
"3","2","2","2026-04-21T22:15:42.251642+00:00","2026-04-21T22:21:12.251642+00:00"
"4","3","3","2026-04-21T22:15:51.189087+00:00","2026-04-21T22:25:51.189087+00:00"
"5","4","4","2026-04-21T22:15:54.263752+00:00","2026-04-29T22:15:54.263752+00:00"
"6","5","4","2026-04-21T22:16:01.566614+00:00","2026-05-02T22:16:01.566614+00:00"
"7","0","4","2026-04-21T22:16:21.807867+00:00","2026-04-22T22:16:21.807867+00:00"
"8","1","2","2026-04-21T22:16:53.984911+00:00","2026-04-21T22:22:23.984911+00:00"
"9","2","3","2026-04-21T22:17:01.067872+00:00","2026-04-21T22:27:01.067872+00:00"
"10","3","3","2026-04-21T22:17:13.582957+00:00","2026-04-23T22:17:13.582957+00:00"
"11","1","3","2026-04-21T22:17:45.271237+00:00","2026-04-21T22:27:45.271237+00:00"
"12","2","3","2026-04-21T22:18:10.289562+00:00","2026-04-22T22:18:10.289562+00:00"
"13","1","3","2026-04-21T22:18:29.579337+00:00","2026-04-22T22:18:29.579337+00:00"
