"id","titulo"
"0","/@sem assunto/"
"23","/Ensino Fundamental/Artes/Cores/Primárias/"
"24","/Ensino Fundamental/Artes/Cores/Secundárias/"
"6","/Ensino Fundamental/Ciências/Astronomia/Sistema Solar/"
"8","/Ensino Fundamental/Ciências/Biologia/Botânica/Fotossíntese/"
"7","/Ensino Fundamental/Ciências/Biologia/Corpo Humano/Sistema Respiratório/"
"9","/Ensino Fundamental/Ciências/Química/Substâncias/"
"26","/Ensino Fundamental/Educação Física/Esportes/Basquete/"
"25","/Ensino Fundamental/Educação Física/Esportes/Futebol/"
"15","/Ensino Fundamental/Geografia/Brasil/Capitais/"
"14","/Ensino Fundamental/Geografia/Brasil/Litoral/"
"16","/Ensino Fundamental/Geografia/Física/Relevo/"
"13","/Ensino Fundamental/Geografia/Mundo/Continentes/"
"10","/Ensino Fundamental/História/Brasil/Descobrimento/"
"11","/Ensino Fundamental/História/Brasil/Império/Independência/"
"12","/Ensino Fundamental/História/Brasil/República/Proclamação/"
"1","/Ensino Fundamental/Matemática/Aritmética/Adição/"
"3","/Ensino Fundamental/Matemática/Aritmética/Divisão/"
"2","/Ensino Fundamental/Matemática/Aritmética/Multiplicação/"
"4","/Ensino Fundamental/Matemática/Geometria/Formas Planas/"
"5","/Ensino Fundamental/Matemática/Geometria/Ângulos/"
"19","/Ensino Fundamental/Português/Fonética/Sílabas/"
"18","/Ensino Fundamental/Português/Gramática/Classes de Palavras/Adjetivos/"
"17","/Ensino Fundamental/Português/Gramática/Classes de Palavras/Substantivos/"
"21","/Ensino Fundamental/Português/Gramática/Plural/"
"22","/Ensino Fundamental/Português/Semântica/Antônimos/"
"20","/Ensino Fundamental/Português/Semântica/Sinônimos/"
