"id","frente","verso","assunto"
"0","Quanto é 5 + 7?","12","/Ensino Fundamental/Matemática/Aritmética/Adição/"
"1","Quanto é 8 x 4?","32","/Ensino Fundamental/Matemática/Aritmética/Multiplicação/"
"2","Qual o resultado de 15 dividido por 3?","5","/Ensino Fundamental/Matemática/Aritmética/Divisão/"
"3","O que é um triângulo?","Uma figura geométrica com três lados.","/Ensino Fundamental/Matemática/Geometria/Formas Planas/"
"4","Quantos graus tem um ângulo reto?","90 graus.","/Ensino Fundamental/Matemática/Geometria/Ângulos/"
"5","Como se chama um polígono de 4 lados iguais?","Quadrado.","/Ensino Fundamental/Matemática/Geometria/Formas Planas/"
"6","Qual é o planeta mais próximo do Sol?","Mercúrio.","/Ensino Fundamental/Ciências/Astronomia/Sistema Solar/"
"7","Qual é a estrela do nosso sistema solar?","O Sol.","/Ensino Fundamental/Ciências/Astronomia/Sistema Solar/"
"8","Qual gás nós respiramos para viver?","Oxigênio.","/Ensino Fundamental/Ciências/Biologia/Corpo Humano/Sistema Respiratório/"
"9","O que as plantas usam para fazer fotossíntese?","Luz solar, água e gás carbônico.","/Ensino Fundamental/Ciências/Biologia/Botânica/Fotossíntese/"
"10","Qual a fórmula química da água?","H2O.","/Ensino Fundamental/Ciências/Química/Substâncias/"
"11","Quem descobriu o Brasil?","Pedro Álvares Cabral.","/Ensino Fundamental/História/Brasil/Descobrimento/"
"12","Em que ano o Brasil foi descoberto pelos portugueses?","1500.","/Ensino Fundamental/História/Brasil/Descobrimento/"
"13","Quem declarou a independência do Brasil?","Dom Pedro I.","/Ensino Fundamental/História/Brasil/Império/Independência/"
"14","Qual era o nome do primeiro presidente do Brasil?","Marechal Deodoro da Fonseca.","/Ensino Fundamental/História/Brasil/República/Proclamação/"
"15","Em que dia comemoramos a independência do Brasil?","7 de setembro.","/Ensino Fundamental/História/Brasil/Império/Independência/"
"16","Qual é o maior continente do mundo em extensão territorial?","Ásia.","/Ensino Fundamental/Geografia/Mundo/Continentes/"
"17","Em qual continente fica o Brasil?","América (América do Sul).","/Ensino Fundamental/Geografia/Mundo/Continentes/"
"18","Qual oceano banha a costa do Brasil?","Oceano Atlântico.","/Ensino Fundamental/Geografia/Brasil/Litoral/"
"19","Qual é a capital do Brasil?","Brasília.","/Ensino Fundamental/Geografia/Brasil/Capitais/"
"20","O que é uma ilha?","Uma porção de terra cercada de água por todos os lados.","/Ensino Fundamental/Geografia/Física/Relevo/"
"21","O que é um substantivo?","É a palavra que dá nome aos seres, coisas e lugares.","/Ensino Fundamental/Português/Gramática/Classes de Palavras/Substantivos/"
"22","O que é um adjetivo?","É a palavra que dá característica ou qualidade ao substantivo.","/Ensino Fundamental/Português/Gramática/Classes de Palavras/Adjetivos/"
"23","Como se chama a sílaba mais forte de uma palavra?","Sílaba tônica.","/Ensino Fundamental/Português/Fonética/Sílabas/"
"24","O que é um sinônimo?","Palavra que tem sentido igual ou semelhante a outra.","/Ensino Fundamental/Português/Semântica/Sinônimos/"
"25","Qual é o plural de 'cão'?","Cães.","/Ensino Fundamental/Português/Gramática/Plural/"
"26","O que são palavras antônimas?","Palavras que têm sentidos opostos (ex: claro e escuro).","/Ensino Fundamental/Português/Semântica/Antônimos/"
"27","Quais são as três cores primárias?","Vermelho, amarelo e azul.","/Ensino Fundamental/Artes/Cores/Primárias/"
"28","O que é uma cor secundária?","É a cor formada pela mistura de duas cores primárias.","/Ensino Fundamental/Artes/Cores/Secundárias/"
"29","Quantos jogadores tem um time de futebol em campo?","11 jogadores.","/Ensino Fundamental/Educação Física/Esportes/Futebol/"
"30","No basquete, quantos pontos vale um arremesso convertido de fora da linha de três (garrafão)?","3 pontos.","/Ensino Fundamental/Educação Física/Esportes/Basquete/"
